State,Year,Quarter,H_idx
CO,1985,4,124.15
CO,1986,1,128.76
CO,1986,2,129.47
CO,1986,3,128.61
CO,1986,4,127.93
CO,1987,1,129.66
CO,1987,2,128.14
CO,1987,3,125.43
CO,1987,4,124.36
CO,1988,1,125.42
CO,1988,2,125.02
CO,1988,3,123.79
CO,1988,4,123.41
CO,1989,1,123.43
CO,1989,2,124.31
CO,1989,3,126.85
CO,1989,4,126.36
CO,1990,1,126.98
CO,1990,2,128.03
CO,1990,3,128.99
CO,1990,4,129.31
CO,1991,1,130.75
CO,1991,2,132.41
CO,1991,3,133.58
CO,1991,4,135.84
CO,1992,1,137.74
CO,1992,2,140.83
CO,1992,3,143.9
CO,1992,4,146.61
CO,1993,1,149.29
CO,1993,2,152.95
CO,1993,3,157.27
CO,1993,4,161.16
CO,1994,1,165.88
CO,1994,2,173.52
CO,1994,3,177.81
CO,1994,4,179.3
CO,1995,1,182.61
CO,1995,2,186.23
CO,1995,3,189.93
CO,1995,4,192.82
CO,1996,1,195.19
CO,1996,2,197.7
CO,1996,3,199.9
CO,1996,4,202.65
CO,1997,1,204.77
CO,1997,2,207.44
CO,1997,3,210.76
CO,1997,4,214.04
CO,1998,1,217.06
CO,1998,2,219.67
CO,1998,3,223.68
CO,1998,4,226.42
CO,1999,1,230.8
CO,1999,2,237.88
CO,1999,3,245.73
CO,1999,4,249.98
CO,2000,1,259.42
CO,2000,2,265.8
CO,2000,3,272.75
CO,2000,4,278.86
CO,2001,1,286.67
CO,2001,2,292.5
CO,2001,3,297.9
CO,2001,4,300.32
CO,2002,1,303.82
CO,2002,2,307.16
CO,2002,3,311.53
CO,2002,4,313.45
CO,2003,1,314.32
CO,2003,2,315.69
CO,2003,3,317.11
CO,2003,4,320.73
CO,2004,1,323.15
CO,2004,2,325.65
CO,2004,3,330.16
CO,2004,4,333.36
CO,2005,1,336.88
CO,2005,2,341.81
CO,2005,3,347.17
CO,2005,4,350.56
CO,2006,1,351.59
CO,2006,2,353.44
CO,2006,3,354.99
CO,2006,4,358.32
CO,2007,1,359.18
CO,2007,2,360.16
CO,2007,3,357.82
CO,2007,4,358.73
CO,2008,1,360.63
CO,2008,2,358.48
CO,2008,3,351.44
CO,2008,4,352.48
CO,2009,1,359.01
CO,2009,2,353.13
CO,2009,3,344.81
CO,2009,4,343.89
CO,2010,1,340.01
CO,2010,2,336.07
CO,2010,3,340.28
CO,2010,4,338.76
CO,2011,1,330.19
CO,2011,2,324.37
CO,2011,3,327.67
CO,2011,4,330.62
CO,2012,1,328.84
CO,2012,2,329.68
CO,2012,3,335.1
CO,2012,4,338.13
CO,2013,1,342.28
CO,2013,2,349.27
CO,2013,3,357.76
CO,2013,4,360.81
CO,2014,1,365.84
CO,2014,2,378.41
CO,2014,3,386.78
CO,2014,4,392.52
CO,2015,1,400.03
CO,2015,2,416.63
CO,2015,3,431.61
CO,2015,4,437.6
CO,2016,1,445.43
CO,2016,2,461.09
CO,2016,3,473.64
CO,2016,4,480.43
CO,2017,1,488.59
CO,2017,2,505.69
CO,2017,3,513.78
CO,2017,4,520.91
CO,2018,1,534.78
CO,2018,2,548.52
CO,2018,3,556.86
CO,2018,4,558.48
CO,2019,1,566.15
CO,2019,2,575.09
CO,2019,3,580.37
CO,2019,4,585.21
CO,2020,1,591.55
CO,2020,2,598.53
CO,2020,3,607.95
CO,2020,4,620.38
